;;;;;;
;beer, sales;;;;;
;Bud Light, 2022;;;;;
;Coors Light, 1044;;;;;
;Miller, 884;;;;;
;Budweiser, 718;;;;;
;Michelob, 508;;;;;
;Busch, 337;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
